adresse,num,proprio[global],collectif,sexe,statut_femme,proprio_titre*,proprio_particule*,proprio_name*,proprio_ad,proprio_numAd,commune_propio,proprio_region*,Pays,same_place*,commentaire,x_dom,y_dom,postcode_en2020_dom,source_dom,url_dom,score_dom
rue de l’Abbé Grégoire,41,James,,,,-0,-0,James,rue Abbé Grégoire,41,Paris,Paris,France,oui,,2.325869,48.847235,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=41+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194816719173351
rue de l’Abbé Grégoire,43,Rodier (Mme),,F,Mme,-0,-0,Rodier,avenue Herbillon,45,,Seine,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=45+avenue+Herbillon&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Grégoire,45,Desbans,,,,-0,-0,Desbans,rue Montmartre,15,Paris,Paris,France,non,,2.343051,48.872527,75009,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=15+rue+Montmartre&lat=48.8566&lon=2.3522&limit=100,0.555912530277253
rue de l’Abbé Grégoire,2,Minot,,,,-0,-0,Minot,rue Prés,13,,Seine-et-Marne,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=13+rue+Prés&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Grégoire,4,Rigaux,,,,-0,-0,Rigaux,boulevard Montparnasse,51,Paris,Paris,France,non,,2.324688,48.843414,75014,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=51+boulevard+Montparnasse&lat=48.8566&lon=2.3522&limit=100,0.7140565227553392
rue de l’Abbé Grégoire,6,Dally,,,,-0,-0,Dally,rue Léonie,3,Paris,Paris,France,non,,2.383609,48.828826,75013,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=3+rue+Léonie&lat=48.8566&lon=2.3522&limit=100,0.3361528693691815
rue de l’Abbé Grégoire,8,Dames de St-Maur,Eglise,,,-0,-0,Dames de St-Maur,rue Abbé Grégoire,10,Paris,Paris,France,non,,2.323807,48.849249,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=10+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194754368245612
rue de l’Abbé Grégoire,10,Dames de St-Maur,Eglise,,,-0,-0,Dames de St-Maur,rue Abbé Grégoire,10,Paris,Paris,France,oui,,2.323807,48.849249,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=10+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194754368245612
rue de l’Abbé Grégoire,12,Dames de St-Maur,Eglise,,,-0,-0,Dames de St-Maur,rue Abbé Grégoire,10,Paris,Paris,France,non,,2.323807,48.849249,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=10+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194754368245612
rue de l’Abbé Grégoire,14,Dames de St-Maur,Eglise,,,-0,-0,Dames de St-Maur,rue Abbé Grégoire,10,Paris,Paris,France,non,,2.323807,48.849249,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=10+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194754368245612
